Nonterminal,uma,parenl,parenr,keyl,keyr,id,assign,dotcomma,hun,chillu,ari,shuc,pacha,haykaq,opemasmas,igualq,noigualq,menorq,mayorq,menoriguq,mayoiguq,num,or,and,opesuma,opemenos,opemult,opediv,opemod,$
PROGRAM,PROGRAM -> BLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOCK,BLOCK -> uma parenl parenr keyl LIST_STATEMENT keyr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIST_STATEMENT,,,,,LIST_STATEMENT -> '',LIST_STATEMENT -> STATEMENT MORE_STATEMENT,,,LIST_STATEMENT -> STATEMENT MORE_STATEMENT,LIST_STATEMENT -> STATEMENT MORE_STATEMENT,LIST_STATEMENT -> STATEMENT MORE_STATEMENT,,LIST_STATEMENT -> STATEMENT MORE_STATEMENT,LIST_STATEMENT -> STATEMENT MORE_STATEMENT,,,,,,,,,,,,,,,,
MORE_STATEMENT,,,,,MORE_STATEMENT -> '',MORE_STATEMENT -> STATEMENT MORE_STATEMENT,,,MORE_STATEMENT -> STATEMENT MORE_STATEMENT,MORE_STATEMENT -> STATEMENT MORE_STATEMENT,MORE_STATEMENT -> STATEMENT MORE_STATEMENT,,MORE_STATEMENT -> STATEMENT MORE_STATEMENT,MORE_STATEMENT -> STATEMENT MORE_STATEMENT,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT -> id assign E dotcomma,,,STATEMENT -> TYPE id dotcomma,STATEMENT -> TYPE id dotcomma,STATEMENT -> IF_DECL,,STATEMENT -> WHILE_DECL,STATEMENT -> FOR_DECL,,,,,,,,,,,,,,,,
TYPE,,,,,,,,,TYPE -> hun,TYPE -> chillu,,,,,,,,,,,,,,,,,,,,
E,,E -> T E',,,,E -> T E',,,,,,,,,,,,,,,,E -> T E',,,,,,,,
E',,,E' -> '',,E' -> '',,,E' -> '',,,,,,,,,,,,,,,E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',E' -> OPER T E',
T,,T -> parenl E parenr,,,,T -> TERM,,,,,,,,,,,,,,,,T -> TERM,,,,,,,,
IF_DECL,,,,,,,,,,,IF_DECL -> ari parenl COMPARATION parenr keyl E keyr SHUC_DECL,,,,,,,,,,,,,,,,,,,
SHUC_DECL,,,,,SHUC_DECL -> '',SHUC_DECL -> '',,,SHUC_DECL -> '',SHUC_DECL -> '',SHUC_DECL -> '',SHUC_DECL -> shuc keyl E keyr,SHUC_DECL -> '',SHUC_DECL -> '',,,,,,,,,,,,,,,,
WHILE_DECL,,,,,,,,,,,,,WHILE_DECL -> pacha parenl COMPARATION parenr keyl E keyr,,,,,,,,,,,,,,,,,
FOR_DECL,,,,,,,,,,,,,,FOR_DECL -> haykaq parenl F dotcomma COMPARATION dotcomma id opemasmas parenr keyl E keyr,,,,,,,,,,,,,,,,
F,,,,,,,,,F -> hun UNO assign TERM,,,,,,,,,,,,,,,,,,,,,
COMPARATION,,,,,,COMPARATION -> TERM OPER_COMP TERM,,,,,,,,,,,,,,,,COMPARATION -> TERM OPER_COMP TERM,,,,,,,,
OPER_COMP,,,,,,,,,,,,,,,,OPER_COMP -> igualq,OPER_COMP -> noigualq,OPER_COMP -> menorq,OPER_COMP -> mayorq,OPER_COMP -> menoriguq,OPER_COMP -> mayoiguq,,,,,,,,,
TERM,,,,,,TERM -> id,,,,,,,,,,,,,,,,TERM -> num,,,,,,,,
UNO,,,,,,UNO -> id,,,,,,,,,,,,,,,,,,,,,,,,
OPER,,,,,,,,,,,,,,,,,,,,,,,OPER -> or,OPER -> and,OPER -> opesuma,OPER -> opemenos,OPER -> opemult,OPER -> opediv,OPER -> opemod,
